INFO 2026-02-02 15:52:50,792 autoreload Watching for file changes with StatReloader
INFO 2026-02-02 15:53:28,841 basehttp "GET /api/dashboard/summary HTTP/1.1" 200 296
INFO 2026-02-02 15:53:28,843 basehttp "GET /api/institutions/ HTTP/1.1" 200 52
INFO 2026-02-02 15:53:28,844 basehttp "GET /api/filings/ HTTP/1.1" 200 52
INFO 2026-02-02 15:53:28,846 basehttp "GET /api/admin/companies HTTP/1.1" 200 2
INFO 2026-02-02 15:53:28,848 basehttp "GET /api/admin/system-status HTTP/1.1" 200 99
INFO 2026-02-02 15:53:28,850 services ✅ 加载了 10299 个ticker-CIK映射
INFO 2026-02-02 15:53:28,851 services ✅ 创建新机构: Institution 0001067983 (CIK: 0001067983)
INFO 2026-02-02 15:53:28,852 basehttp "POST /api/admin/companies/add HTTP/1.1" 201 217
INFO 2026-02-02 15:57:59,700 basehttp "GET /api/ HTTP/1.1" 200 105
INFO 2026-02-02 15:57:59,712 basehttp "GET /api/ HTTP/1.1" 200 105
WARNING 2026-02-02 15:57:59,972 log Not Found: /favicon.ico
WARNING 2026-02-02 15:57:59,972 basehttp "GET /favicon.ico HTTP/1.1" 404 2702
WARNING 2026-02-02 15:57:59,974 log Not Found: /favicon.ico
WARNING 2026-02-02 15:57:59,974 basehttp "GET /favicon.ico HTTP/1.1" 404 2702
INFO 2026-02-02 15:58:09,980 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-02 15:58:09,981 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-02 15:58:10,019 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
INFO 2026-02-02 15:58:10,032 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
INFO 2026-02-02 15:58:10,036 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2026-02-02 15:58:10,036 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-02-02 15:58:10,037 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2026-02-02 15:58:10,093 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-02-02 15:58:10,093 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-02-02 15:58:10,094 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2026-02-02 15:58:10,194 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
